,pad_dist_R1005,post_angle,spi_volume
count,5835.0,5835.0,5835.0
mean,41.084497104468774,0.9405694944301628,83.8549792202228
std,7.200710347061575,0.8640302768197587,8.538031625497924
min,26.00821003762099,0.0,53.6681
25%,35.46061875693081,0.199,77.9217
50%,41.93096943105156,0.7170000000000001,83.678
75%,47.35933519750854,1.37,89.37859999999999
max,51.99914412108604,9.188,114.5864
